,distance,cab_type,destination,source,price,surge_multiplier,id,product_id,name,date_hour,temp,clouds,pressure,rain,humidity,wind,hour,date,day,product,product_Accessible,product_Basic,product_Lux,product_SUV,product_Sedan,product_Shared,product_XL
1319,0.39,Uber,South Station,Financial District,6.0,1.0,6dd7cf02-34e9-44be-8ea2-a2b9dfc1bb1d,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,2018-11-28:00.45.22,38.87,0.04,992.1,0.0,0.73,7.53,0,2018-11-28,Wednesday,Basic,0,1,0,0,0,0,0
3813,2.38,Lyft,Boston University,Beacon Hill,7.0,1.0,6cda757c-8e64-439b-9ae4-9e0bdfbd36b5,lyft_line,Shared,2018-11-28:17.02.08,41.32,0.92,991.49,0.0,0.63,9.23,17,2018-11-28,Wednesday,Shared,0,0,0,0,0,1,0
3288,1.56,Uber,Back Bay,Boston University,8.0,1.0,3df58f9e-7cbd-440a-b83b-4ad735fe7f20,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,2018-11-28:18.02.07,41.35,0.96,991.49,0.003,0.63,9.47,18,2018-11-28,Wednesday,Shared,0,0,0,0,0,1,0
1432,2.29,Lyft,Boston University,Beacon Hill,32.5,1.0,a00c933e-e0ff-42b7-bd74-44fb4405587b,lyft_luxsuv,Lux Black XL,2018-11-28:23.02.09,39.95,0.98,995.04,0.0,0.64,9.99,23,2018-11-28,Wednesday,SUV,0,0,0,1,0,0,0
364,0.55,Uber,South Station,Theatre District,10.5,1.0,94bb4698-d770-41d2-a8cf-929cc306c8ee,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,2018-12-01:15.53.05,39.97,0.12,1022.78,0.0,0.61,3.34,15,2018-12-01,Saturday,XL,0,0,0,0,0,0,1
3007,1.08,Uber,North End,North Station,17.0,1.0,ac1ac56c-b6bc-4821-b612-202d62a73824,6c84fd89-3f11-4782-9b50-97c468b19529,Black,2018-11-26:20.05.09,45.14,0.98,1010.02,0.0,0.84,8.18,20,2018-11-26,Monday,Sedan,0,0,0,0,1,0,0
2709,1.94,Uber,Theatre District,Northeastern University,28.0,1.0,7d42fc95-7ce1-4150-a981-67646a640d52,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,2018-11-28:23.02.09,39.88,0.98,995.06,0.0,0.64,9.97,23,2018-11-28,Wednesday,SUV,0,0,0,1,0,0,0
2331,2.58,Uber,Beacon Hill,South Station,30.5,1.0,0a881ceb-0aa9-47c2-90f5-9757700c6f14,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,2018-11-28:10.32.07,33.55,0.17,991.34,0.0,0.83,6.45,10,2018-11-28,Wednesday,SUV,0,0,0,1,0,0,0
1335,0.49,Uber,North Station,Haymarket Square,9.5,1.0,10c9642b-0e68-4294-a590-79cdd2cd230e,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,2018-11-26:12.35.09,40.52,0.93,1015.17,0.0,0.95,3.16,12,2018-11-26,Monday,XL,0,0,0,0,0,0,1
3581,3.27,Lyft,Back Bay,South Station,11.0,1.0,1bde200a-2f51-4c0d-8f3c-f75e7a74f621,lyft,Lyft,2018-11-29:02.09.19,38.65,0.5,997.93,0.002,0.7,10.51,2,2018-11-29,Thursday,Basic,0,1,0,0,0,0,0
